1 flow networks in WDG5.txt.

** G1: |V|=50, V={0..49}
(u, v, weight) E = {
      ( 0, 16, 60.698)
      ( 0, 31, 65.345)
      ( 0, 37, 11.824)
      ( 0, 46, 16.352)
      ( 0, 49, 38.785)
      ( 1, 15, 65.099)
      ( 1, 20, 49.170)
      ( 1, 23, 33.384)
      ( 1, 31, 51.746)
      ( 1, 38, 99.315)
      ( 1, 45, 46.417)
      ( 2, 10,  3.658)
      ( 2, 21, 49.511)
      ( 2, 38, 28.994)
      ( 2, 49, 34.484)
      ( 3, 22, 67.062)
      ( 3, 25, 76.984)
      ( 3, 27, 56.634)
      ( 3, 36, 30.769)
      ( 3, 45, 42.448)
      ( 4, 13, 78.633)
      ( 4, 19, 36.022)
      ( 4, 33,  4.943)
      ( 4, 34, 37.761)
      ( 4, 37,  6.277)
      ( 5, 13, 51.122)
      ( 5, 17, 64.379)
      ( 5, 19, 57.004)
      ( 5, 26, 97.292)
      ( 5, 29, 17.818)
      ( 5, 37, 61.149)
      ( 5, 48, 50.357)
      ( 6,  3, 51.042)
      ( 6, 15, 12.905)
      ( 6, 36, 85.640)
      ( 7, 30, 60.503)
      ( 8,  9, 34.263)
      ( 8, 19, 26.804)
      ( 8, 24, 64.722)
      ( 8, 48, 31.980)
      ( 9,  5, 74.294)
      ( 9, 23, 26.141)
      ( 9, 27, 84.136)
      ( 9, 36, 25.140)
      (10,  4, 68.466)
      (10, 48,  6.518)
      (11,  2, 20.189)
      (11, 31, 30.162)
      (11, 33, 54.771)
      (11, 47, 85.497)
      (12,  7, 86.142)
      (12,  8, 81.369)
      (12, 28, 53.858)
      (13, 37, 73.073)
      (13, 46, 85.662)
      (14,  4, 15.020)
      (14,  8, 61.785)
      (14, 13,  2.695)
      (14, 27, 37.570)
      (14, 33,  4.648)
      (14, 45, 13.476)
      (14, 47, 60.176)
      (14, 48,  9.664)
      (15, 34, 12.962)
      (15, 35, 74.718)
      (16,  6,  4.688)
      (16, 10, 24.819)
      (16, 13, 68.306)
      (16, 18, 91.675)
      (16, 21, 28.414)
      (16, 22, 16.684)
      (16, 23, 94.686)
      (16, 28, 46.317)
      (16, 35,  4.287)
      (16, 40, 37.257)
      (17,  1, 96.412)
      (17,  9, 96.842)
      (17, 10, 63.743)
      (17, 19, 24.332)
      (17, 20, 72.460)
      (17, 26, 53.212)
      (17, 28, 47.304)
      (17, 31, 88.312)
      (18,  1, 30.789)
      (18,  3, 97.118)
      (18, 30, 41.365)
      (19, 20, 42.168)
      (19, 22,  3.950)
      (19, 23, 92.297)
      (19, 26, 60.531)
      (19, 36, 74.383)
      (19, 37, 52.527)
      (20,  9, 37.921)
      (20, 25, 31.444)
      (20, 31, 72.568)
      (20, 48, 27.093)
      (21, 27, 13.896)
      (21, 34, 33.110)
      (21, 40, 11.059)
      (21, 41, 56.655)
      (22,  4,  6.302)
      (22,  8, 44.344)
      (22, 11,  4.219)
      (22, 15, 24.767)
      (22, 16, 59.879)
      (22, 29, 76.128)
      (22, 31, 68.352)
      (22, 44, 73.814)
      (23,  4, 76.414)
      (23,  5, 41.335)
      (23, 11,  1.094)
      (23, 12, 37.271)
      (23, 26, 95.124)
      (23, 27, 74.486)
      (23, 35,  4.933)
      (23, 45, 38.102)
      (24, 13, 44.637)
      (24, 27, 97.965)
      (24, 30, 43.995)
      (24, 34, 80.859)
      (24, 41, 99.993)
      (24, 42, 52.371)
      (24, 48, 41.582)
      (25,  2, 36.427)
      (25,  8, 53.135)
      (25, 30, 45.518)
      (26, 10, 82.030)
      (26, 49, 33.838)
      (27, 17, 59.741)
      (27, 30, 81.891)
      (27, 40, 11.328)
      (28, 11, 79.034)
      (28, 13, 65.896)
      (28, 16, 82.280)
      (28, 17, 87.602)
      (28, 24, 91.980)
      (28, 25, 27.998)
      (28, 36, 73.688)
      (29,  3, 80.003)
      (29, 13, 60.059)
      (29, 24, 67.522)
      (29, 30, 12.524)
      (29, 34, 35.765)
      (29, 35, 37.257)
      (29, 47, 57.749)
      (30, 14, 50.606)
      (30, 31, 57.181)
      (30, 34, 43.253)
      (30, 45, 45.310)
      (31,  5, 68.427)
      (31,  8, 55.056)
      (31, 12, 20.147)
      (31, 25, 96.473)
      (31, 33, 40.717)
      (31, 38, 86.730)
      (31, 47, 29.248)
      (31, 49, 12.418)
      (32, 19, 61.352)
      (32, 20, 36.131)
      (32, 30, 81.017)
      (33, 21, 84.340)
      (33, 40, 51.274)
      (34, 28, 21.437)
      (34, 32, 91.000)
      (34, 40, 41.143)
      (35,  8, 68.182)
      (35, 26, 87.816)
      (35, 33,  2.345)
      (35, 43, 35.634)
      (36,  5, 81.421)
      (36, 37,  8.443)
      (36, 38, 69.280)
      (37,  3, 41.591)
      (37,  6, 85.663)
      (37, 11, 85.413)
      (37, 31, 30.763)
      (37, 32, 24.815)
      (37, 34, 62.707)
      (37, 38, 30.455)
      (37, 44, 35.346)
      (37, 47, 22.290)
      (38,  9, 70.927)
      (38, 11, 22.372)
      (38, 40, 87.205)
      (39, 10, 82.872)
      (39, 14, 57.733)
      (39, 19, 21.949)
      (39, 43, 18.183)
      (39, 48, 91.515)
      (40, 21, 57.649)
      (40, 32, 29.655)
      (40, 47, 16.642)
      (41, 30, 94.883)
      (41, 39,  6.497)
      (41, 46, 84.857)
      (41, 47, 86.921)
      (42,  9, 15.370)
      (42, 11, 32.530)
      (42, 25, 86.412)
      (42, 39, 46.159)
      (42, 41, 67.937)
      (42, 46, 64.243)
      (42, 47, 67.438)
      (43,  7, 28.331)
      (43, 13, 35.907)
      (43, 14, 55.042)
      (43, 26, 71.798)
      (43, 34, 18.389)
      (44,  3, 16.835)
      (44,  5, 48.901)
      (44,  9, 70.319)
      (45,  2, 18.506)
      (45, 16, 67.823)
      (45, 19, 24.629)
      (45, 21, 71.047)
      (45, 23, 13.555)
      (45, 39, 70.229)
      (46,  2,  4.410)
      (46, 17, 85.930)
      (46, 49, 79.133)
      (47,  4, 45.512)
      (47, 49, 37.803)
      (48,  3, 17.128)
      (48,  9, 35.613)
      (48, 12, 91.098)
      (48, 15, 57.512)
      (48, 19, 82.796)
      (48, 46, 25.957) }
-------------------------
