1 flow networks in WDG7.txt.

** G1: |V|=100, V={0..99}
(u, v, weight) E = {
      ( 0, 27, 82.391)
      ( 0, 57, 53.551)
      ( 0, 59,  7.430)
      ( 0, 63, 42.075)
      ( 0, 75, 46.420)
      ( 0, 86, 58.495)
      ( 0, 88, 28.594)
      ( 0, 89, 13.527)
      ( 0, 94, 96.909)
      ( 1, 10, 21.582)
      ( 1, 15,  1.351)
      ( 1, 18, 97.984)
      ( 1, 26, 96.363)
      ( 1, 35, 81.105)
      ( 1, 36, 52.499)
      ( 1, 41, 45.962)
      ( 1, 54, 16.407)
      ( 1, 57, 26.425)
      ( 1, 58, 99.931)
      ( 1, 67, 78.952)
      ( 1, 75, 63.817)
      ( 2,  1, 88.525)
      ( 2, 12, 72.820)
      ( 2, 26, 30.486)
      ( 2, 41,  9.674)
      ( 2, 50, 18.872)
      ( 2, 52, 18.144)
      ( 2, 54, 70.109)
      ( 2, 74,  4.464)
      ( 2, 83, 68.026)
      ( 2, 85, 40.612)
      ( 2, 96, 41.800)
      ( 2, 98, 87.915)
      ( 3,  9, 49.927)
      ( 3, 10, 36.139)
      ( 3, 23, 70.602)
      ( 3, 25, 34.840)
      ( 3, 33, 46.071)
      ( 3, 36, 81.171)
      ( 3, 45, 37.827)
      ( 3, 51, 28.324)
      ( 3, 55, 92.861)
      ( 3, 68,  4.313)
      ( 3, 70, 10.978)
      ( 3, 89, 59.073)
      ( 3, 95,  5.254)
      ( 3, 96, 15.902)
      ( 3, 97, 87.677)
      ( 4, 16, 85.923)
      ( 4, 24, 62.442)
      ( 4, 56, 91.419)
      ( 4, 63, 49.268)
      ( 4, 69, 96.031)
      ( 4, 77, 46.748)
      ( 4, 90, 81.867)
      ( 5,  4,  1.424)
      ( 5,  7, 68.497)
      ( 5, 32, 58.056)
      ( 5, 55, 89.553)
      ( 5, 56,  7.067)
      ( 5, 59, 80.804)
      ( 5, 63, 82.105)
      ( 5, 67, 32.008)
      ( 5, 68, 66.119)
      ( 5, 85, 14.678)
      ( 5, 98, 61.709)
      ( 5, 99, 34.174)
      ( 6,  9, 34.139)
      ( 6, 16, 48.732)
      ( 6, 41, 30.501)
      ( 6, 56, 37.307)
      ( 6, 58, 40.687)
      ( 6, 73, 80.513)
      ( 6, 93,  3.111)
      ( 6, 95, 92.534)
      ( 7,  1, 69.337)
      ( 7, 10, 17.392)
      ( 7, 21, 23.787)
      ( 7, 25, 15.381)
      ( 7, 31, 22.626)
      ( 7, 48, 88.061)
      ( 7, 73,  1.335)
      ( 7, 87, 71.124)
      ( 7, 89, 76.866)
      ( 8, 13, 59.268)
      ( 8, 34, 88.930)
      ( 8, 47, 97.267)
      ( 8, 51, 60.662)
      ( 8, 61, 59.853)
      ( 8, 67, 16.757)
      ( 8, 93,  6.050)
      ( 9, 53, 19.188)
      ( 9, 62, 42.014)
      ( 9, 63, 32.701)
      ( 9, 68, 58.406)
      ( 9, 79, 12.775)
      (10, 11, 80.272)
      (10, 28, 51.261)
      (10, 35,  5.437)
      (10, 36, 80.084)
      (10, 44, 92.527)
      (10, 76, 93.697)
      (10, 80, 65.071)
      (11,  4, 43.254)
      (11,  8, 52.173)
      (11, 14, 27.924)
      (11, 18, 57.258)
      (11, 45, 79.674)
      (11, 48, 14.259)
      (11, 51,  2.063)
      (11, 59, 67.749)
      (11, 83, 43.692)
      (12,  7, 86.304)
      (12, 31, 64.661)
      (12, 41, 75.211)
      (12, 48, 18.431)
      (12, 65, 38.455)
      (12, 99, 47.488)
      (13,  1, 55.232)
      (13,  8, 35.080)
      (13, 11, 69.356)
      (13, 15, 47.546)
      (13, 26, 94.518)
      (13, 28, 28.459)
      (13, 33, 50.271)
      (13, 82, 96.343)
      (13, 96,  5.418)
