10 flow networks in WDG6.txt.

** G1: |V|=50, V={0..49}
(u, v, weight) E = { 
      ( 0,  1,  73)
      ( 0, 16,  14)
      ( 0, 17,   9)
      ( 0, 18,  53)
      ( 0, 34,  89)
      ( 0, 43,  22)
      ( 1, 21,  40)
      ( 1, 25,   0)
      ( 1, 29,  49)
      ( 1, 40,  78)
      ( 1, 48,  77)
      ( 2, 36,  80)
      ( 2, 40,  26)
      ( 2, 44,  26)
      ( 2, 48,  15)
      ( 3,  8,  14)
      ( 3, 25,  32)
      ( 3, 31,  39)
      ( 3, 33,  69)
      ( 3, 36,  99)
      ( 3, 45,  95)
      ( 4,  2,  68)
      ( 4,  7,  41)
      ( 4, 33,  44)
      ( 4, 35,  40)
      ( 4, 40,  13)
      ( 5,  9,  76)
      ( 5, 28,  20)
      ( 5, 41,  11)
      ( 6, 13,  28)
      ( 6, 14,  32)
      ( 6, 32,  89)
      ( 6, 36,  65)
      ( 6, 39,  16)
      ( 6, 41,  64)
      ( 7,  4,   5)
      ( 7, 18,  72)
      ( 7, 20,  59)
      ( 7, 21,  56)
      ( 8,  6,  76)
      ( 8, 12,  25)
      ( 8, 15,  98)
      ( 8, 17,  70)
      ( 8, 19,  45)
      ( 8, 34,  83)
      ( 8, 47,  98)
      ( 9, 11,  55)
      ( 9, 12,  35)
      ( 9, 13,  62)
      ( 9, 17,  95)
      ( 9, 26,  18)
      ( 9, 42,  60)
      (10,  6,  12)
      (10, 14,  68)
      (10, 43,  75)
      (11,  2,  68)
      (11, 31,  26)
      (12,  6,  36)
      (12, 28,  92)
      (12, 44,   9)
      (13,  7,  21)
      (13, 11,  32)
      (13, 36,  54)
      (13, 41,  26)
      (14,  2,   0)
      (14,  6,  99)
      (14, 33,  54)
      (14, 34,  79)
      (14, 38,  80)
      (15,  4,  34)
      (15, 10,  94)
      (15, 14,  70)
      (16,  3,  32)
      (16,  6,  45)
      (16, 33,  56)
      (16, 40,  36)
      (16, 44,  15)
      (17,  3,  99)
      (17,  9,  59)
      (17, 23,  74)
      (17, 29,  65)
      (17, 38,   3)
      (18, 19,  97)
      (18, 34,   7)
      (18, 39,  40)
      (18, 43,   7)
      (19,  6,  74)
      (19,  8,  92)
      (19, 20,  44)
      (19, 39,  30)
      (19, 40,  43)
      (19, 47,  47)
      (20,  2,   0)
      (20, 27,  53)
      (20, 32,  95)
      (20, 41,  85)
      (21, 23,  74)
      (21, 28,  72)
      (21, 46,  70)
      (22,  2,  40)
      (22, 16,   1)
      (22, 17,  15)
      (23,  1,  31)
      (23,  7,   3)
      (23, 15,  50)
