1 flow networks in WDG2.txt.

** G1: |V|=30, V={0..29}
(u, v, weight) E = { 
      ( 0,  1, 76.517)
      ( 0,  6, 28.132)
      ( 0, 17, 29.685)
      ( 0, 26, 33.558)
      ( 1,  3, 86.458)
      ( 1,  4, 50.779)
      ( 1,  5,  3.726)
      ( 1, 11, 53.612)
      ( 1, 16, 24.257)
      ( 1, 21, 11.191)
      ( 1, 24, 33.634)
      ( 1, 27, 66.593)
      ( 2,  1, 15.060)
      ( 2,  4, 63.020)
      ( 2,  8, 81.659)
      ( 2, 15, 13.931)
      ( 2, 16, 38.100)
      ( 2, 17, 62.366)
      ( 2, 22, 87.082)
      ( 2, 23, 63.208)
      ( 2, 24, 99.537)
      ( 3,  2, 72.523)
      ( 3,  4, 70.899)
      ( 3,  7, 71.703)
      ( 3,  9, 91.503)
      ( 3, 13,  2.490)
      ( 3, 18, 50.180)
      ( 3, 23, 43.074)
      ( 3, 24, 60.603)
      ( 4,  9, 74.240)
      ( 4, 21, 93.379)
      ( 4, 23, 67.771)
      ( 5,  2, 27.559)
      ( 5,  8, 19.150)
      ( 5,  9, 19.213)
      ( 5, 11, 98.660)
      ( 5, 18, 54.160)
      ( 5, 19, 59.591)
      ( 5, 22, 80.578)
      ( 5, 24,  3.987)
      ( 5, 28, 95.207)
      ( 6,  7,  3.631)
      ( 6, 12, 16.400)
      ( 6, 18, 37.260)
      ( 6, 21, 68.667)
      ( 6, 29, 16.994)
      ( 7,  9, 86.223)
      ( 7, 16, 46.828)
      ( 7, 20, 49.812)
      ( 7, 25,  1.908)
      ( 7, 28, 77.801)
      ( 8,  1, 71.966)
      ( 8,  7, 36.754)
      ( 8,  9, 72.241)
      ( 8, 14, 17.980)
      ( 8, 25, 87.027)
      ( 8, 26, 23.389)
      ( 8, 29, 13.365)
      ( 9,  1, 59.644)
      ( 9,  3, 38.806)
      ( 9, 18, 13.434)
      ( 9, 19, 51.529)
      (10,  3, 28.572)
      (10,  7, 85.595)
      (10, 14, 24.966)
      (10, 15, 11.131)
      (10, 17,  5.657)
      (10, 26, 47.538)
      (10, 28, 45.548)
      (11,  3, 95.153)
      (11,  6, 64.014)
      (11,  9,  1.806)
      (11, 23, 54.839)
      (11, 26, 35.216)
      (12,  4, 45.201)
      (12,  5, 95.794)
      (12,  7, 76.335)
      (12,  8, 11.169)
      (12, 16, 86.916)
      (12, 17,  9.009)
      (12, 28, 49.729)
      (13,  1, 11.830)
      (13,  4, 52.279)
      (13,  9, 71.582)
      (13, 11, 24.236)
      (13, 17, 21.552)
      (13, 19, 42.028)
      (13, 21, 48.357)
      (13, 23,  4.084)
      (13, 26, 80.567)
      (14,  2, 58.739)
      (14,  7, 90.330)
      (15,  1, 56.327)
      (15,  6,  2.628)
      (15, 12, 41.492)
      (15, 14, 75.801)
      (15, 22, 34.044)
      (15, 29, 94.359)
      (16,  2, 39.235)
      (16,  5, 22.980)
      (16, 10, 54.999)
      (16, 12, 73.835)
      (16, 28, 16.467)
      (16, 29, 60.953)
      (17,  2, 43.813)
      (17, 16, 38.354)
      (17, 23, 11.762)
      (17, 24, 68.831)
      (17, 26, 53.773)
      (18,  1, 97.072)
      (18,  3, 75.089)
      (18,  5, 84.657)
      (18,  6, 56.443)
      (18, 21, 24.129)
      (18, 23, 92.833)
      (19,  2, 25.111)
      (19, 26, 35.369)
      (20,  5,  8.198)
      (20,  8, 99.942)
      (21, 19, 83.369)
      (22,  2, 43.286)
      (22,  6, 38.909)
      (22, 12, 53.611)
      (22, 17, 21.505)
      (22, 23, 19.417)
      (22, 27, 59.442)
      (23,  6, 68.501)
      (24,  2, 37.699)
      (24,  5, 58.624)
      (24,  7, 80.688)
      (24, 16, 10.572)
      (24, 22, 94.108)
      (24, 26, 25.438)
      (24, 28, 97.775)
      (25,  1, 58.209)
      (26,  1, 45.703)
      (26,  9, 26.211)
      (26, 11, 20.419)
      (26, 16, 83.498)
      (26, 23, 80.520)
      (26, 24,  9.960)
      (26, 28, 40.524)
      (27,  1, 82.159)
      (27,  7, 68.781)
      (27, 16, 72.758)
      (28,  1, 24.686)
      (28,  3,  6.886)
      (28,  9, 36.068)
      (28, 10, 48.923)
      (28, 20, 51.766)
      (28, 23,  1.556)
      (28, 27, 91.273)
      (28, 29, 80.593) }
------------------------- 

